 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
229,,2,0.0283,1.1100,1.1500,0,1.0900,1.1700,0,0.0283,0.0283,255,255
230,,2,0.0283,2.1800,1.7500,0,2.2000,1.7700,0,0.0283,0.0283,255,255
231,,2,0.0283,2.5200,0.9700,0,2.5000,0.9700,0,0.0200,0.0283,255,255
232,,2,0.0241,0.4100,1.5500,0,0.4300,1.5600,0,0.0224,0.0212,255,255
233,,2,0.0241,1.8100,1.0000,0,1.7900,0.9900,0,0.0224,0.0241,255,255
234,,2,0.0200,0.8600,1.1500,0,0.8800,1.1500,0,0.0200,0.0200,255,255
235,,2,0.0200,1.8700,2.2500,0,1.8900,2.2500,0,0.0200,0.0200,255,255
236,,2,0.0200,2.2800,0.7100,0,2.3000,0.7100,0,0.0200,0.0200,255,255
237,,2,0.0141,2.0100,2.3200,0,2.0100,2.3200,0,0.0000,0.0000,0,0
238,,2,0.0141,2.8800,2.5600,0,2.8800,2.5600,0,0.0000,0.0000,0,0
239,,2,0.0141,2.9100,2.5200,0,2.9100,2.5200,0,0.0000,0.0000,0,0
240,,2,0.0100,1.0800,1.6700,0,1.0900,1.6700,0,0.0100,0.0100,255,255
241,,2,0.0100,1.8100,1.0200,0,1.8100,1.0300,0,0.0100,0.0100,255,255
242,,3,0.0983,0.0000,2.1400,0,0.0000,2.2300,0,0.0900,0.0928,255,255
243,,4,0.2073,0.2400,0.1600,0,0.3400,0.0000,0,0.1887,0.1924,255,255
244,Mean,2.0082,0.2136,1.6077,1.6423,0,1.6875,1.6472,0,0.1951,0.1888,250.8025,250.8025
245,SD,0.1572,0.1545,0.8979,0.8143,0,0.8898,0.8059,0,0.1377,0.1426,32.5131,32.5131
246,Min,1,0.0100,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0
247,Max,4,0.9415,3.1400,2.9300,0,3.0800,2.8800,0,0.8460,0.8778,255,255
