 ,Label,Skeleton ID,Branch length,V1 x,V1 y,V1 z,V2 x,V2 y,V2 z,Euclidean distance,running average length,average intensity (inner 3rd),average intensity
190,,1,0.0500,0.9000,0.6400,0,0.9500,0.6400,0,0.0500,0.0500,255,255
191,,1,0.0500,2.7600,2.1800,0,2.8100,2.1800,0,0.0500,0.0300,255,255
192,,1,0.0383,2.3700,1.8800,0,2.3400,1.9000,0,0.0361,0.0383,255,255
193,,1,0.0341,2.3700,1.8600,0,2.3600,1.8300,0,0.0316,0.0341,255,255
194,,1,0.0341,2.6800,0.0600,0,2.7100,0.0700,0,0.0316,0.0000,0,0
195,,1,0.0241,1.5600,1.1400,0,1.5400,1.1500,0,0.0224,0.0212,255,255
196,,1,0.0241,1.8900,1.8600,0,1.8700,1.8500,0,0.0224,0.0241,255,255
197,,1,0.0241,2.1400,2.1900,0,2.1500,2.1700,0,0.0224,0.0241,255,255
198,,1,0.0241,2.8300,2.1900,0,2.8100,2.1800,0,0.0224,0.0241,255,255
199,,1,0.0141,1.5800,1.1300,0,1.5900,1.1200,0,0.0141,0.0141,255,255
200,,1,0.0141,2.1200,2.2000,0,2.1100,2.2100,0,0.0141,0.0141,255,255
201,,1,0.0141,0.5500,1.7900,0,0.5500,1.7900,0,0.0000,0.0000,0,0
202,,1,0.0100,1.0600,1.6800,0,1.0500,1.6800,0,0.0100,0.0100,255,255
203,,1,0.0100,0.5900,1.8000,0,0.5900,1.8000,0,0.0000,0.0000,0,0
204,,1,0.0100,1.0900,1.6800,0,1.0900,1.6800,0,0.0000,0.0000,0,0
205,,1,0.0100,2.7600,2.1800,0,2.7600,2.1800,0,0.0000,0.0000,0,0
206,,1,0.0100,2.8600,2.2100,0,2.8600,2.2100,0,0.0000,0.0000,0,0
207,,2,0.1083,0.0000,2.1300,0,0.0000,2.2300,0,0.1000,0.1018,255,255
208,,3,0.2031,0.2500,0.1400,0,0.3600,0.0000,0,0.1780,0.1881,255,255
209,,5,0.1749,0.6300,2.9200,0,0.7800,2.8600,0,0.1616,0.1639,255,255
210,,6,0.3356,0.9100,2.9200,0,1.1000,2.7100,0,0.2832,0.3114,255,255
211,,7,0.1931,2.4500,0.7800,0,2.5400,0.6300,0,0.1749,0.1849,255,255
212,,8,0.2949,3.0400,2.9200,0,3.1400,2.6900,0,0.2508,0.2774,255,255
213,Mean,1.1179,0.2313,1.6068,1.5834,0,1.6791,1.5780,0,0.2074,0.2051,247.7830,247.7830
214,SD,0.7790,0.1555,0.8761,0.8295,0,0.8572,0.8122,0,0.1343,0.1454,42.3877,42.3877
215,Min,1,0.0100,0.0000,0.0000,0,0.0000,0.0000,0,0.0000,0.0000,0,0
216,Max,8,0.7460,3.1400,2.9300,0,3.1400,2.8700,0,0.6641,0.7020,255,255
